191;189;SGD;OWNED;;
179;190;SHP;OWNED;;
193;191;SIT;OWNED;;
192;192;SKK;OWNED;;
190;193;SLL;OWNED;;
185;194;SML;OWNED;;
195;195;SOS;OWNED;;
202;196;SRD;OWNED;;
202;197;SRG;OWNED;;
251;198;SSP;OWNED;;
186;199;STD;OWNED;;
186;200;STN;OWNED;;
280;201;SUR;OWNED;;
65;202;SVC;OWNED;;
207;203;SYP;OWNED;;
204;204;SZL;OWNED;;
211;205;THB;OWNED;;
209;206;TJR;OWNED;;
209;207;TJS;OWNED;;
218;208;TMM;OWNED;;
218;209;TMT;OWNED;;
216;210;TND;OWNED;;
214;211;TOP;OWNED;;
297;212;TPE;OWNED;;
217;213;TRL;OWNED;;
217;214;TRY;OWNED;;
215;215;TTD;OWNED;;
208;216;TWD;OWNED;;
210;217;TZS;OWNED;;
222;218;UAH;OWNED;;
222;219;UAK;OWNED;;
221;220;UGS;OWNED;;
221;221;UGX;OWNED;;
225;222;USD;OWNED;;
227;223;UYN;OWNED;;
227;224;UYP;OWNED;;
227;225;UYU;OWNED;;
228;226;UZS;OWNED;;
95;227;VAL;OWNED;;
230;228;VEB;OWNED;;
230;229;VEF;OWNED;;
230;230;VES;OWNED;;
231;231;VND;OWNED;;
229;232;VUV;OWNED;;
184;233;WST;OWNED;;
247;234;XAF;OWNED;;
298;235;XCD;OWNED;;
244;236;XOF;OWNED;;
299;237;XPF;OWNED;;
283;238;YDD;OWNED;;
236;239;YER;OWNED;;
284;240;YUD;OWNED;;
284;241;YUG;OWNED;;
284;242;YUM;OWNED;;
284;243;YUN;OWNED;;
284;244;YUO;OWNED;;
284;245;YUR;OWNED;;
196;246;ZAR;OWNED;;
237;247;ZMK;OWNED;;
237;248;ZMW;OWNED;;
285;249;ZRN;OWNED;;
285;250;ZRZ;OWNED;;
300;251;ZWC;OWNED;;
238;252;ZWD;OWNED;;
238;253;ZWL;OWNED;;
238;254;ZWN;OWNED;;
238;255;ZWR;OWNED;;
14;74;EUR;SHARED;1999-01-01;
5;74;EUR;SHARED;1999-01-01;
21;74;EUR;SHARED;1999-01-01;
73;74;EUR;SHARED;1999-01-01;
74;74;EUR;SHARED;1999-01-01;
81;74;EUR;SHARED;1999-01-01;
84;74;EUR;SHARED;1999-01-01;
95;74;EUR;SHARED;1999-01-01;
104;74;EUR;SHARED;1999-01-01;
106;74;EUR;SHARED;1999-01-01;
123;74;EUR;SHARED;1999-01-01;
140;74;EUR;SHARED;1999-01-01;
149;74;EUR;SHARED;1999-01-01;
172;74;EUR;SHARED;1999-01-01;
185;74;EUR;SHARED;1999-01-01;
199;74;EUR;SHARED;1999-01-01;
56;74;EUR;SHARED;2008-01-01;
68;74;EUR;SHARED;2011-01-01;
116;74;EUR;SHARED;2014-01-01;
122;74;EUR;SHARED;2015-01-01;
131;74;EUR;SHARED;2008-01-01;
192;74;EUR;SHARED;2009-01-01;
193;74;EUR;SHARED;2007-01-01;
252;74;EUR;FOREIGN;2008;
248;74;EUR;FOREIGN;2006;
275;74;EUR;FOREIGN;2003;2006
